language,part,r,K,N,regime,chosen_off,chosen_on,pw_off,orbit_off,pw_on,orbit_on,ms
matlab,selector,2,4,4,,bulger,bulger,0.2153,3,0.1001,1,
matlab,selector,2,6,4,,bulger,bulger,0.7722,3,0.3591,1,
matlab,selector,2,8,4,,bulger,bulger,1.843,3,0.8571,1,
matlab,selector,2,12,4,,mobius,mobius,6.091,3,2.832,1,
matlab,selector,2,16,4,,mobius,mobius,14.02,3,6.517,1,
matlab,selector,2,24,4,,mobius,mobius,44.76,3,20.81,1,
matlab,selector,2,40,4,,mobius,mobius,190.5,3,88.57,1,
matlab,selector,2,4,16,,bulger,bulger,1.487,3,0.6914,1,
matlab,selector,2,6,16,,mobius,mobius,5.333,3,2.48,1,
matlab,selector,2,8,16,,mobius,mobius,12.73,3,5.92,1,
matlab,selector,2,12,16,,mobius,mobius,42.07,3,19.56,1,
matlab,selector,2,16,16,,mobius,mobius,96.81,3,45.01,1,
matlab,selector,2,24,16,,mobius,mobius,309.1,3,143.7,1,
matlab,selector,2,40,16,,mobius,mobius,1316,3,611.7,1,
matlab,selector,3,4,4,,bulger,bulger,0.1834,11.2,0.08052,3.733,
matlab,selector,3,6,4,,bulger,bulger,2.046,11.2,0.8982,3.733,
matlab,selector,3,8,4,,bulger,mobius,9.572,11.2,4.202,3.733,
matlab,selector,3,12,4,,mobius,mobius,74.39,11.2,32.66,3.733,
matlab,selector,3,16,4,,mobius,mobius,301.7,11.2,132.5,3.733,
matlab,selector,3,24,4,,mobius,mobius,2069,11.2,908.6,3.733,
matlab,selector,3,40,4,,mobius,mobius,2.227e+04,11.2,9777,3.733,
matlab,selector,3,4,16,,bulger,bulger,1.464,11.2,0.6429,3.733,
matlab,selector,3,6,16,,mobius,mobius,16.34,11.2,7.172,3.733,
matlab,selector,3,8,16,,mobius,mobius,76.43,11.2,33.55,3.733,
matlab,selector,3,12,16,,mobius,mobius,594,11.2,260.8,3.733,
matlab,selector,3,16,16,,mobius,mobius,2409,11.2,1058,3.733,
matlab,selector,3,24,16,,mobius,mobius,1.652e+04,11.2,7254,3.733,
matlab,selector,3,40,16,,mobius,mobius,1.778e+05,11.2,7.806e+04,3.733,
matlab,selector_asym,2,6,8,Ky4_Ny3,bulger,bulger,1.054,3,0.2515,1,
matlab,selector_asym,2,8,8,Ky4_Ny3,bulger,bulger,2.387,3,0.3886,1,
matlab,selector_asym,2,12,8,Ky4_Ny3,mobius,bulger,7.625,3,0.7064,1,
matlab,selector_asym,2,16,8,Ky4_Ny3,mobius,mobius,17.36,3,1.072,1,
matlab,selector_asym,2,24,8,Ky4_Ny3,mobius,mobius,55.01,3,1.915,1,
matlab,selector_asym,2,40,8,Ky4_Ny3,mobius,mobius,233.2,3,3.95,1,
matlab,selector_asym,2,64,8,Ky4_Ny3,mobius,mobius,875.2,3,7.657,1,
