language,part,r,K,N,regime,chosen_off,chosen_on,pw_off,orbit_off,pw_on,orbit_on,ms
python,selector,2,4,4,,bulger,bulger,0.1545,3,0.06243,1,
python,selector,2,6,4,,bulger,bulger,0.6998,3,0.2829,1,
python,selector,2,8,4,,bulger,bulger,1.959,3,0.7918,1,
python,selector,2,12,4,,mobius,mobius,8.055,3,3.256,1,
python,selector,2,16,4,,mobius,mobius,21.59,3,8.726,1,
python,selector,2,24,4,,mobius,mobius,85.25,3,34.46,1,
python,selector,2,40,4,,mobius,mobius,472.8,3,191.1,1,
python,selector,2,4,16,,bulger,bulger,1.519,3,0.614,1,
python,selector,2,6,16,,mobius,mobius,6.883,3,2.782,1,
python,selector,2,8,16,,mobius,mobius,19.27,3,7.787,1,
python,selector,2,12,16,,mobius,mobius,79.22,3,32.02,1,
python,selector,2,16,16,,mobius,mobius,212.3,3,85.82,1,
python,selector,2,24,16,,mobius,mobius,838.4,3,338.9,1,
python,selector,2,40,16,,mobius,mobius,4650,3,1880,1,
python,selector,3,4,4,,bulger,bulger,0.2183,11.2,0.09176,3.733,
python,selector,3,6,4,,bulger,bulger,2.767,11.2,1.163,3.733,
python,selector,3,8,4,,mobius,mobius,14.05,11.2,5.905,3.733,
python,selector,3,12,4,,mobius,mobius,121.7,11.2,51.16,3.733,
python,selector,3,16,4,,mobius,mobius,531.7,11.2,223.5,3.733,
python,selector,3,24,4,,mobius,mobius,4039,11.2,1698,3.733,
python,selector,3,40,4,,mobius,mobius,4.929e+04,11.2,2.072e+04,3.733,
python,selector,3,4,16,,bulger,bulger,1.946,11.2,0.8179,3.733,
python,selector,3,6,16,,mobius,mobius,24.67,11.2,10.37,3.733,
python,selector,3,8,16,,mobius,mobius,125.2,11.2,52.64,3.733,
python,selector,3,12,16,,mobius,mobius,1085,11.2,456,3.733,
python,selector,3,16,16,,mobius,mobius,4740,11.2,1992,3.733,
python,selector,3,24,16,,mobius,mobius,3.6e+04,11.2,1.513e+04,3.733,
python,selector,3,40,16,,mobius,mobius,4.394e+05,11.2,1.847e+05,3.733,
python,selector_asym,2,6,8,Ky4_Ny3,bulger,bulger,1.012,3,0.1856,1,
python,selector_asym,2,8,8,Ky4_Ny3,bulger,bulger,2.66,3,0.3106,1,
python,selector_asym,2,12,8,Ky4_Ny3,mobius,bulger,10.51,3,0.6298,1,
python,selector_asym,2,16,8,Ky4_Ny3,mobius,mobius,27.8,3,1.031,1,
python,selector_asym,2,24,8,Ky4_Ny3,mobius,mobius,108.8,3,2.049,1,
python,selector_asym,2,40,8,Ky4_Ny3,mobius,mobius,600.8,3,4.825,1,
python,selector_asym,2,64,8,Ky4_Ny3,mobius,mobius,2872,3,10.56,1,
python,selector_asym,2,6,32,Ky4_Ny3,mobius,bulger,9.005,3,0.5822,1,
python,selector_asym,2,8,32,Ky4_Ny3,mobius,bulger,24.83,3,0.9741,1,
python,selector_asym,2,12,32,Ky4_Ny3,mobius,mobius,101.1,3,1.975,1,
python,selector_asym,2,16,32,Ky4_Ny3,mobius,mobius,270.2,3,3.234,1,
python,selector_asym,2,24,32,Ky4_Ny3,mobius,mobius,1065,3,6.426,1,
python,selector_asym,2,40,32,Ky4_Ny3,mobius,mobius,5899,3,15.13,1,
python,selector_asym,2,64,32,Ky4_Ny3,mobius,mobius,2.822e+04,3,33.11,1,
python,selector_asym,3,6,8,Ky4_Ny3,bulger,bulger,3.692,11.2,0.4499,3.733,
