label,operation,elapsed_s,checksum,n_j,sigma_over_P,r,isRel,isPer,wrap,A,N,K,nQ
base,eval,0.00014675,17.1173661577278,56,0.1,2,False,True,full-image,1,1,8,10
base,cossim,0.000738416667,0.993005506296609,56,0.1,2,False,True,full-image,1,1,8,10
sigma_over_P=0.002,eval,0.000198083333,0.056581141188552,56,0.002,2,False,True,full-image,1,1,8,10
sigma_over_P=0.002,cossim,0.000628125,9.67245854458505e-54,56,0.002,2,False,True,full-image,1,1,8,10
sigma_over_P=0.005,eval,0.0001895,0.393320563890168,56,0.005,2,False,True,full-image,1,1,8,10
sigma_over_P=0.005,cossim,0.00058875,3.29371411030609e-09,56,0.005,2,False,True,full-image,1,1,8,10
sigma_over_P=0.01,eval,0.000201875,0.722151557194239,56,0.01,2,False,True,full-image,1,1,8,10
sigma_over_P=0.01,cossim,0.000534416667,0.00757662342444953,56,0.01,2,False,True,full-image,1,1,8,10
sigma_over_P=0.05,eval,0.000170208333,3.82886496980348,56,0.05,2,False,True,full-image,1,1,8,10
sigma_over_P=0.05,cossim,0.000521625,0.978080635278321,56,0.05,2,False,True,full-image,1,1,8,10
sigma_over_P=0.2,eval,0.000166166667,79.1328929217717,56,0.2,2,False,True,full-image,1,1,8,10
sigma_over_P=0.2,cossim,0.000886375,0.998640304471558,56,0.2,2,False,True,full-image,1,1,8,10
sigma_over_P=0.3,eval,0.000173041667,194.200907419384,56,0.3,2,False,True,full-image,1,1,8,10
sigma_over_P=0.3,cossim,0.000831625,0.99981456975028,56,0.3,2,False,True,full-image,1,1,8,10
sigma_over_P=0.5,eval,0.000158416667,563.362183532514,56,0.5,2,False,True,full-image,1,1,8,10
sigma_over_P=0.5,cossim,0.000725458333,0.999999665364649,56,0.5,2,False,True,full-image,1,1,8,10
r=1,eval,0.000178958333,14.5015877952314,8,0.1,1,False,True,full-image,1,1,8,10
r=1,cossim,0.000344833333,0.996774411104093,8,0.1,1,False,True,full-image,1,1,8,10
r=3,eval,0.000233916667,16.0921917150021,336,0.1,3,False,True,full-image,1,1,8,10
r=3,cossim,0.00253154167,0.988449765745499,336,0.1,3,False,True,full-image,1,1,8,10
r=4,eval,0.000324708333,12.1898921674067,1680,0.1,4,False,True,full-image,1,1,8,10
r=4,cossim,0.00561641667,0.982658285869626,1680,0.1,4,False,True,full-image,1,1,8,10
isRel=False&isPer=False,eval,0.00017175,16.2435012641283,56,0.1,2,False,False,full-image,1,1,8,10
isRel=False&isPer=False,cossim,0.000635666667,0.990224009639729,56,0.1,2,False,False,full-image,1,1,8,10
isRel=True&isPer=False,eval,0.00144945833,55.9856296821734,56,0.1,2,True,False,full-image,1,1,8,10
isRel=True&isPer=False,cossim,0.00076125,1,56,0.1,2,True,False,full-image,1,1,8,10
isRel=True&isPer=True,eval,0.00123816667,127.44244491145,56,0.1,2,True,True,full-image,1,1,8,10
isRel=True&isPer=True,cossim,0.000361375,1,56,0.1,2,True,True,full-image,1,1,8,10
wrap=single-image,eval,0.000217375,17.1173281331367,56,0.1,2,False,True,single-image,1,1,8,10
wrap=single-image,cossim,0.000521291667,0.993416198347671,56,0.1,2,False,True,single-image,1,1,8,10
A=2,eval,0.000575125,11.9897588849634,3136,0.1,2,False,True,full-image,2,1,8,10
A=2,cossim,0.141741292,0.980720375415695,3136,0.1,2,False,True,full-image,2,1,8,10
A=3,eval,0.00141775,1.39572874887708,175616,0.1,2,False,True,full-image,3,1,8,10
N=5,eval,0.00115220833,94.8465995075149,280,0.1,2,False,True,full-image,1,5,8,10
N=5,cossim,0.00411308333,0.998551758757287,280,0.1,2,False,True,full-image,1,5,8,10
N=20,eval,0.00140541667,552.227555106284,1120,0.1,2,False,True,full-image,1,20,8,10
N=20,cossim,0.02202725,0.998818316665912,1120,0.1,2,False,True,full-image,1,20,8,10
N=50,eval,0.003327875,1720.92082786419,2800,0.1,2,False,True,full-image,1,50,8,10
N=50,cossim,0.11925375,0.997803150003403,2800,0.1,2,False,True,full-image,1,50,8,10
N=100,eval,0.006807625,4016.62887952789,5600,0.1,2,False,True,full-image,1,100,8,10
N=100,cossim,0.453956958,0.998205981432218,5600,0.1,2,False,True,full-image,1,100,8,10
K=4,eval,0.000157,3.91045328314337,12,0.1,2,False,True,full-image,1,1,4,10
K=4,cossim,0.000261875,0.985421659438985,12,0.1,2,False,True,full-image,1,1,4,10
K=16,eval,0.000172166667,72.3504641150243,240,0.1,2,False,True,full-image,1,1,16,10
K=16,cossim,0.00260279167,0.996412575809743,240,0.1,2,False,True,full-image,1,1,16,10
K=50,eval,0.000304375,720.897154561866,2450,0.1,2,False,True,full-image,1,1,50,10
K=50,cossim,0.0668486667,0.99781961606783,2450,0.1,2,False,True,full-image,1,1,50,10
K=100,eval,0.000518958333,2885.71261345299,9900,0.1,2,False,True,full-image,1,1,100,10
K=100,cossim,1.01570571,0.997957490529733,9900,0.1,2,False,True,full-image,1,1,100,10
nQ=1,eval,0.000553625,0.411972183260737,56,0.1,2,False,True,full-image,1,1,8,1
nQ=1,cossim,0.00078025,0.993005506296609,56,0.1,2,False,True,full-image,1,1,8,1
nQ=100,eval,0.000294458333,202.026266637719,56,0.1,2,False,True,full-image,1,1,8,100
nQ=100,cossim,0.000825416667,0.993005506296609,56,0.1,2,False,True,full-image,1,1,8,100
