label,operation,elapsed_s,checksum,n_j,n_inner,sigma_over_P,r,isRel,isPer,wrap,A,N,K,nQ
base,eval,0.000115446372,17.1173661577278,56,209,0.1,2,False,True,full-image,1,1,8,10
base,cossim,0.000554545918,0.993005506296608,56,49,0.1,2,False,True,full-image,1,1,8,10
sigma_over_P=0.002,eval,0.000137979055,0.056581141188552,56,187,0.002,2,False,True,full-image,1,1,8,10
sigma_over_P=0.002,cossim,0.00109253846,9.67245854458505e-54,56,26,0.002,2,False,True,full-image,1,1,8,10
sigma_over_P=0.005,eval,0.000136954282,0.393320563890168,56,144,0.005,2,False,True,full-image,1,1,8,10
sigma_over_P=0.005,cossim,0.000537061667,3.29371411030608e-09,56,50,0.005,2,False,True,full-image,1,1,8,10
sigma_over_P=0.01,eval,0.000135466938,0.722151557194239,56,184,0.01,2,False,True,full-image,1,1,8,10
sigma_over_P=0.01,cossim,0.000552189167,0.00757662342444951,56,50,0.01,2,False,True,full-image,1,1,8,10
sigma_over_P=0.05,eval,0.000140952672,3.82886496980348,56,184,0.05,2,False,True,full-image,1,1,8,10
sigma_over_P=0.05,cossim,0.000538616667,0.978080635278321,56,50,0.05,2,False,True,full-image,1,1,8,10
sigma_over_P=0.2,eval,0.000116284389,79.1328929217717,56,229,0.2,2,False,True,full-image,1,1,8,10
sigma_over_P=0.2,cossim,0.000566530208,0.998640304471558,56,40,0.2,2,False,True,full-image,1,1,8,10
sigma_over_P=0.3,eval,0.000123342178,194.200907419384,56,212,0.3,2,False,True,full-image,1,1,8,10
sigma_over_P=0.3,cossim,0.000551558824,0.99981456975028,56,51,0.3,2,False,True,full-image,1,1,8,10
sigma_over_P=0.5,eval,0.000115253872,563.362183532514,56,226,0.5,2,False,True,full-image,1,1,8,10
sigma_over_P=0.5,cossim,0.000562085833,0.999999665364649,56,50,0.5,2,False,True,full-image,1,1,8,10
r=1,eval,9.67464971e-05,14.5015877952314,8,226,0.1,1,False,True,full-image,1,1,8,10
r=1,cossim,0.000192352778,0.996774411104093,8,120,0.1,1,False,True,full-image,1,1,8,10
r=3,eval,0.000176280645,16.0921917150021,336,155,0.1,3,False,True,full-image,1,1,8,10
r=3,cossim,0.00150702546,0.988449765745499,336,18,0.1,3,False,True,full-image,1,1,8,10
r=4,eval,0.000303730978,12.1898921674067,1680,92,0.1,4,False,True,full-image,1,1,8,10
r=4,cossim,0.0054305,0.982658285869627,1680,5,0.1,4,False,True,full-image,1,1,8,10
isRel=False&isPer=False,eval,0.000120469404,16.2435012641283,56,207,0.1,2,False,False,full-image,1,1,8,10
isRel=False&isPer=False,cossim,0.000542967949,0.990224009871712,56,52,0.1,2,False,False,full-image,1,1,8,10
isRel=True&isPer=False,eval,0.000618827778,55.9856296821734,56,30,0.1,2,True,False,full-image,1,1,8,10
isRel=True&isPer=False,cossim,0.00031867963,1,56,45,0.1,2,True,False,full-image,1,1,8,10
