label,operation,elapsed_s,checksum,n_j,sigma_over_P,r,isRel,isPer,wrap,A,N,K,nQ
base,eval,6.675001350231469e-05,17.117366094509375,56,0.1,2,False,True,full-image,1,1,8,10
base,cossim,0.0002660839818418026,0.9930055062966086,56,0.1,2,False,True,full-image,1,1,8,10
sigma_over_P=0.002,eval,5.808300920762122e-05,0.056581141188551884,56,0.002,2,False,True,full-image,1,1,8,10
sigma_over_P=0.002,cossim,0.00016999998479150236,9.672458544585052e-54,56,0.002,2,False,True,full-image,1,1,8,10
sigma_over_P=0.005,eval,5.670799873769283e-05,0.39332056389011794,56,0.005,2,False,True,full-image,1,1,8,10
sigma_over_P=0.005,cossim,0.0001739590079523623,3.293714110306093e-09,56,0.005,2,False,True,full-image,1,1,8,10
sigma_over_P=0.01,eval,5.679100286215544e-05,0.7221515573556969,56,0.01,2,False,True,full-image,1,1,8,10
sigma_over_P=0.01,cossim,0.00017320798360742629,0.0075766234244495235,56,0.01,2,False,True,full-image,1,1,8,10
sigma_over_P=0.05,eval,5.5832992075011134e-05,3.828864878247294,56,0.05,2,False,True,full-image,1,1,8,10
sigma_over_P=0.05,cossim,0.00016762502491474152,0.9780806352783207,56,0.05,2,False,True,full-image,1,1,8,10
sigma_over_P=0.2,eval,6.429202039726079e-05,79.13289292177166,56,0.2,2,False,True,full-image,1,1,8,10
sigma_over_P=0.2,cossim,0.0005526249879039824,0.9986403044715582,56,0.2,2,False,True,full-image,1,1,8,10
sigma_over_P=0.3,eval,8.90420051291585e-05,194.20090741938378,56,0.3,2,False,True,full-image,1,1,8,10
sigma_over_P=0.3,cossim,0.00043524999637156725,0.9998145697502797,56,0.3,2,False,True,full-image,1,1,8,10
sigma_over_P=0.5,eval,8.766600512899458e-05,563.3621835325141,56,0.5,2,False,True,full-image,1,1,8,10
sigma_over_P=0.5,cossim,0.000360167003236711,0.9999996653646486,56,0.5,2,False,True,full-image,1,1,8,10
r=1,eval,4.7959008952602744e-05,14.501587795231394,8,0.1,1,False,True,full-image,1,1,8,10
r=1,cossim,0.00010366700007580221,0.9967744111040929,8,0.1,1,False,True,full-image,1,1,8,10
r=3,eval,0.00016995801706798375,16.09219062032523,336,0.1,3,False,True,full-image,1,1,8,10
r=3,cossim,0.002194250002503395,0.9884497657454997,336,0.1,3,False,True,full-image,1,1,8,10
r=4,eval,0.0005710000114049762,12.189892167406725,1680,0.1,4,False,True,full-image,1,1,8,10
r=4,cossim,0.014696124999318272,0.9826582858696257,1680,0.1,4,False,True,full-image,1,1,8,10
isRel=False&isPer=False,eval,0.0001337080029770732,16.243501147754298,56,0.1,2,False,False,full-image,1,1,8,10
isRel=False&isPer=False,cossim,0.00038041698280721903,0.990224009639729,56,0.1,2,False,False,full-image,1,1,8,10
isRel=True&isPer=False,eval,0.00015583299682475626,55.98562963623325,56,0.1,2,True,False,full-image,1,1,8,10
isRel=True&isPer=False,cossim,0.00047133301268331707,1.0,56,0.1,2,True,False,full-image,1,1,8,10
isRel=True&isPer=True,eval,0.0005584169994108379,127.44244491145037,56,0.1,2,True,True,full-image,1,1,8,10
isRel=True&isPer=True,cossim,0.00023379098274745047,1.0,56,0.1,2,True,True,full-image,1,1,8,10
wrap=single-image,eval,5.800000508315861e-05,17.117328080761137,56,0.1,2,False,True,single-image,1,1,8,10
wrap=single-image,cossim,0.00015049998182803392,0.9934161983476711,56,0.1,2,False,True,single-image,1,1,8,10
A=2,eval,0.00014849999570287764,11.989758646794854,3136,0.1,2,False,True,full-image,2,1,8,10
A=2,cossim,0.0010175830102525651,0.9807203752840178,3136,0.1,2,False,True,full-image,2,1,8,10
A=3,eval,0.00020029098959639668,1.3957285334962062,175616,0.1,2,False,True,full-image,3,1,8,10
A=3,cossim,0.001483625004766509,0.9659976250936645,175616,0.1,2,False,True,full-image,3,1,8,10
N=5,eval,0.0002207500219810754,94.84659907735715,280,0.1,2,False,True,full-image,1,5,8,10
N=5,cossim,0.0006009579810779542,0.998551758757287,280,0.1,2,False,True,full-image,1,5,8,10
N=20,eval,0.0006871670193504542,552.2275530762979,1120,0.1,2,False,True,full-image,1,20,8,10
N=20,cossim,0.0017815830069594085,0.9988183166659117,1120,0.1,2,False,True,full-image,1,20,8,10
N=50,eval,0.001622709009097889,1720.920820997846,2800,0.1,2,False,True,full-image,1,50,8,10
N=50,cossim,0.0082162500184495,0.9978031500034032,2800,0.1,2,False,True,full-image,1,50,8,10
N=100,eval,0.003197917016223073,4016.6288656075844,5600,0.1,2,False,True,full-image,1,100,8,10
N=100,cossim,0.033099332998972386,0.9982059814322183,5600,0.1,2,False,True,full-image,1,100,8,10
K=4,eval,6.77499920129776e-05,3.910453261304893,12,0.1,2,False,True,full-image,1,1,4,10
K=4,cossim,0.00013504098751582205,0.9854216594389847,12,0.1,2,False,True,full-image,1,1,4,10
K=16,eval,0.00015537498984485865,72.35046411502425,240,0.1,2,False,True,full-image,1,1,16,10
K=16,cossim,0.0005726659728679806,0.9964125758097423,240,0.1,2,False,True,full-image,1,1,16,10
K=50,eval,0.00017100002150982618,720.8971545618657,2450,0.1,2,False,True,full-image,1,1,50,10
K=50,cossim,0.0007322499877773225,0.9978196160678302,2450,0.1,2,False,True,full-image,1,1,50,10
K=100,eval,0.0001785420172382146,2885.7126134529894,9900,0.1,2,False,True,full-image,1,1,100,10
K=100,cossim,0.0011307080276310444,0.9979574905297329,9900,0.1,2,False,True,full-image,1,1,100,10
nQ=1,eval,5.758300540037453e-05,0.41197218017815396,56,0.1,2,False,True,full-image,1,1,8,1
nQ=1,cossim,0.0002622090105433017,0.9930055062966086,56,0.1,2,False,True,full-image,1,1,8,1
nQ=100,eval,0.00018283302779309452,202.02626663771892,56,0.1,2,False,True,full-image,1,1,8,100
nQ=100,cossim,0.00025912499404512346,0.9930055062966086,56,0.1,2,False,True,full-image,1,1,8,100
