label,operation,elapsed_s,checksum,n_j,sigma_over_P,r,isRel,isPer,wrap,A,N,K,nQ
base,eval,8.391699520871043e-05,17.117366094509375,56,0.1,2,False,True,full-image,1,1,8,10
base,cossim,0.000578042003326118,0.9930055062966082,56,0.1,2,False,True,full-image,1,1,8,10
sigma_over_P=0.002,eval,5.549998604692519e-05,0.05658114118855186,56,0.002,2,False,True,full-image,1,1,8,10
sigma_over_P=0.002,cossim,0.0006741249817423522,9.672458544585052e-54,56,0.002,2,False,True,full-image,1,1,8,10
sigma_over_P=0.005,eval,5.745899397879839e-05,0.3933205638901179,56,0.005,2,False,True,full-image,1,1,8,10
sigma_over_P=0.005,cossim,0.0005426659772638232,3.293714110306081e-09,56,0.005,2,False,True,full-image,1,1,8,10
sigma_over_P=0.01,eval,5.2000017603859305e-05,0.7221515573556969,56,0.01,2,False,True,full-image,1,1,8,10
sigma_over_P=0.01,cossim,0.000541457993676886,0.00757662342444952,56,0.01,2,False,True,full-image,1,1,8,10
sigma_over_P=0.05,eval,6.049999501556158e-05,3.828864878247294,56,0.05,2,False,True,full-image,1,1,8,10
sigma_over_P=0.05,cossim,0.0005475000070873648,0.9780806352783208,56,0.05,2,False,True,full-image,1,1,8,10
sigma_over_P=0.2,eval,8.299999171867967e-05,79.13289292177166,56,0.2,2,False,True,full-image,1,1,8,10
sigma_over_P=0.2,cossim,0.0005610000225715339,0.9986403044715582,56,0.2,2,False,True,full-image,1,1,8,10
sigma_over_P=0.3,eval,9.833398507907987e-05,194.20090741938378,56,0.3,2,False,True,full-image,1,1,8,10
sigma_over_P=0.3,cossim,0.0005697500018868595,0.9998145697502789,56,0.3,2,False,True,full-image,1,1,8,10
sigma_over_P=0.5,eval,7.745798211544752e-05,563.3621835325141,56,0.5,2,False,True,full-image,1,1,8,10
sigma_over_P=0.5,cossim,0.0005743330111727118,0.999999665364648,56,0.5,2,False,True,full-image,1,1,8,10
r=1,eval,4.787501529790461e-05,14.501587795231394,8,0.1,1,False,True,full-image,1,1,8,10
r=1,cossim,0.0002238329907413572,0.9967744111040931,8,0.1,1,False,True,full-image,1,1,8,10
r=3,eval,0.00040562497451901436,16.09219062032523,336,0.1,3,False,True,full-image,1,1,8,10
r=3,cossim,0.0012558749876916409,0.9884497657454989,336,0.1,3,False,True,full-image,1,1,8,10
r=4,eval,0.0005971250066068023,12.189892167406725,1680,0.1,4,False,True,full-image,1,1,8,10
r=4,cossim,0.004388250003103167,0.982658285869625,1680,0.1,4,False,True,full-image,1,1,8,10
isRel=False&isPer=False,eval,0.00015395900118164718,16.243501147754298,56,0.1,2,False,False,full-image,1,1,8,10
isRel=False&isPer=False,cossim,0.0005692499980796129,0.9902240098717121,56,0.1,2,False,False,full-image,1,1,8,10
isRel=True&isPer=False,eval,0.00016741699073463678,55.98562963623325,56,0.1,2,True,False,full-image,1,1,8,10
isRel=True&isPer=False,cossim,0.00027616697479970753,1.0,56,0.1,2,True,False,full-image,1,1,8,10
isRel=True&isPer=True,eval,0.000712707987986505,127.44244491145037,56,0.1,2,True,True,full-image,1,1,8,10
isRel=True&isPer=True,cossim,0.00023783399956300855,1.0,56,0.1,2,True,True,full-image,1,1,8,10
wrap=single-image,eval,5.908397724851966e-05,17.117328080761137,56,0.1,2,False,True,single-image,1,1,8,10
wrap=single-image,cossim,0.000575165991904214,0.9934161983476706,56,0.1,2,False,True,single-image,1,1,8,10
A=2,eval,0.00018366702715866268,11.989758646794854,3136,0.1,2,False,True,full-image,2,1,8,10
A=2,cossim,0.0011257910227868706,0.9807203752840178,3136,0.1,2,False,True,full-image,2,1,8,10
N=5,eval,0.0003141250053886324,94.84659907735715,280,0.1,2,False,True,full-image,1,5,8,10
N=5,cossim,0.0007052090077195317,0.998551758757287,280,0.1,2,False,True,full-image,1,5,8,10
N=20,eval,0.0009616659954190254,552.2275530762979,1120,0.1,2,False,True,full-image,1,20,8,10
N=20,cossim,0.0025859590095933527,0.9988183166659117,1120,0.1,2,False,True,full-image,1,20,8,10
N=50,eval,0.002558750013122335,1720.920820997846,2800,0.1,2,False,True,full-image,1,50,8,10
N=50,cossim,0.017078165983548388,0.9978031500034032,2800,0.1,2,False,True,full-image,1,50,8,10
N=100,eval,0.004474334011320025,4016.6288656075844,5600,0.1,2,False,True,full-image,1,100,8,10
N=100,cossim,0.05779433299903758,0.9982059814322183,5600,0.1,2,False,True,full-image,1,100,8,10
K=4,eval,6.487499922513962e-05,3.910453261304893,12,0.1,2,False,True,full-image,1,1,4,10
K=4,cossim,0.000529958022525534,0.9854216594389847,12,0.1,2,False,True,full-image,1,1,4,10
K=16,eval,0.0001663750153966248,72.35046411502425,240,0.1,2,False,True,full-image,1,1,16,10
K=16,cossim,0.0005472080083563924,0.9964125758097423,240,0.1,2,False,True,full-image,1,1,16,10
K=50,eval,0.0001923329837154597,720.8971545618657,2450,0.1,2,False,True,full-image,1,1,50,10
K=50,cossim,0.001069624995579943,0.9978196160678302,2450,0.1,2,False,True,full-image,1,1,50,10
K=100,eval,0.00023154198424890637,2885.7126134529894,9900,0.1,2,False,True,full-image,1,1,100,10
K=100,cossim,0.0016363749746233225,0.9979574905297329,9900,0.1,2,False,True,full-image,1,1,100,10
nQ=1,eval,6.09580019954592e-05,0.41197218017815396,56,0.1,2,False,True,full-image,1,1,8,1
nQ=1,cossim,0.0005285830120556056,0.9930055062966082,56,0.1,2,False,True,full-image,1,1,8,1
nQ=100,eval,0.0002196249843109399,202.02626663771892,56,0.1,2,False,True,full-image,1,1,8,100
nQ=100,cossim,0.0005310419946908951,0.9930055062966082,56,0.1,2,False,True,full-image,1,1,8,100
