language,N,M,normalize,variant,ms_per_offset,n_inner,checksum
matlab,300,100,cosine,broadcast,0.073601,10,1.403723044145e-01
matlab,300,100,cosine,loop_memo,0.257531,10,1.403723044145e-01
matlab,300,100,cosine,loop_fresh,0.638505,10,1.403723044145e-01
matlab,300,100,oneSidedDenom,broadcast,0.066872,10,1.417131119040e+00
matlab,300,100,oneSidedDenom,loop_memo,0.264819,10,1.417131119040e+00
matlab,300,100,oneSidedDenom,loop_fresh,0.260447,10,1.417131119040e+00
matlab,1200,100,cosine,broadcast,0.103606,10,9.153848985894e-02
matlab,1200,100,cosine,loop_memo,0.445260,10,9.153848985894e-02
matlab,1200,100,cosine,loop_fresh,2.938685,7,9.153848985894e-02
matlab,1200,100,oneSidedDenom,broadcast,0.076426,10,1.847681809478e+00
matlab,1200,100,oneSidedDenom,loop_memo,0.418329,10,1.847681809478e+00
matlab,1200,100,oneSidedDenom,loop_fresh,0.407938,10,1.847681809478e+00
matlab,5000,100,cosine,broadcast,0.521381,10,4.480544791675e-02
matlab,5000,100,cosine,loop_memo,1.333064,10,4.480544791675e-02
matlab,5000,100,cosine,loop_fresh,39.977073,3,4.480544791675e-02
matlab,5000,100,oneSidedDenom,broadcast,0.099942,10,1.847681809481e+00
matlab,5000,100,oneSidedDenom,loop_memo,0.963527,10,1.847681809481e+00
matlab,5000,100,oneSidedDenom,loop_fresh,0.945157,10,1.847681809481e+00
