language,N,M,normalize,variant,ms_per_offset,n_inner,checksum
python,300,100,cosine,broadcast,0.027167,11,1.403723044145e-01
python,300,100,cosine,loop_memo,0.060095,5,1.403723044145e-01
python,300,100,cosine,loop_fresh,0.519539,1,1.403723044145e-01
python,300,100,oneSidedDenom,broadcast,0.023054,13,1.417131119040e+00
python,300,100,oneSidedDenom,loop_memo,0.054087,5,1.417131119040e+00
python,300,100,oneSidedDenom,loop_fresh,0.054082,5,1.417131119040e+00
python,1200,100,cosine,broadcast,0.098024,2,9.153848985894e-02
python,1200,100,cosine,loop_memo,0.145622,2,9.153848985894e-02
python,1200,100,cosine,loop_fresh,5.673103,1,9.153848985894e-02
python,1200,100,oneSidedDenom,broadcast,0.039256,7,1.847681809478e+00
python,1200,100,oneSidedDenom,loop_memo,0.085328,3,1.847681809478e+00
python,1200,100,oneSidedDenom,loop_fresh,0.087227,3,1.847681809478e+00
python,5000,100,cosine,broadcast,1.313591,1,4.480544791675e-02
python,5000,100,cosine,loop_memo,1.400587,1,4.480544791675e-02
python,5000,100,cosine,loop_fresh,121.974699,1,4.480544791675e-02
python,5000,100,oneSidedDenom,broadcast,0.102890,1,1.847681809481e+00
python,5000,100,oneSidedDenom,loop_memo,0.207465,1,1.847681809481e+00
python,5000,100,oneSidedDenom,loop_fresh,0.177464,1,1.847681809481e+00
