language,mode,is_rel,is_per,r,K,method,truncation,seconds,reps,value,rel_dev
matlab,absolute non-periodic,0,0,2,6,bulger,inf,0.000255526251,846,0.0220974056945736,NaN
matlab,absolute non-periodic,0,0,2,6,mobius,inf,0.000570116898,504,0.0220974056945712,2.342e-15
matlab,absolute non-periodic,0,0,2,12,bulger,inf,0.000724241102,384,0.0136432273445955,NaN
matlab,absolute non-periodic,0,0,2,12,mobius,inf,0.000572652778,432,0.0136432273445954,5.551e-17
matlab,absolute non-periodic,0,0,2,20,bulger,inf,0.00199823276,87,0.168080293106141,NaN
matlab,absolute non-periodic,0,0,2,20,mobius,inf,0.000600833223,378,0.168080293106143,2.193e-15
matlab,absolute non-periodic,0,0,2,34,bulger,inf,0.00705188591,42,0.276329228486047,NaN
matlab,absolute non-periodic,0,0,2,34,mobius,inf,0.000648363111,368,0.276329228486015,3.214e-14
matlab,absolute non-periodic,0,0,3,6,bulger,inf,0.000442509595,634,0.000521028669186421,NaN
matlab,absolute non-periodic,0,0,3,6,mobius,inf,0.0014657117,136,0.000521028669186428,7.156e-18
matlab,absolute non-periodic,0,0,3,12,bulger,inf,0.00395989352,72,0.0151341494961349,NaN
matlab,absolute non-periodic,0,0,3,12,mobius,inf,0.00151928561,172,0.0151341494961347,1.926e-16
matlab,absolute non-periodic,0,0,3,20,bulger,inf,0.0775270208,2,0.0431423448126019,NaN
matlab,absolute non-periodic,0,0,3,20,mobius,inf,0.00156314306,180,0.0431423448125966,5.239e-15
matlab,absolute non-periodic,0,0,3,34,mobius,inf,0.00188709509,124,0.0775002273411831,NaN
matlab,absolute non-periodic,0,0,4,6,bulger,inf,0.000656008294,422,0,NaN
matlab,absolute non-periodic,0,0,4,6,mobius,inf,0.00536075641,52,-2.28243362025078e-17,2.282e-17
matlab,absolute non-periodic,0,0,4,12,bulger,inf,0.0578677917,3,0.000982244456808395,NaN
matlab,absolute non-periodic,0,0,4,12,mobius,inf,0.00541345673,52,0.000982244456806938,1.457e-15
matlab,absolute non-periodic,0,0,4,20,mobius,inf,0.0054899881,28,0.0270328121731932,NaN
matlab,absolute non-periodic,0,0,4,34,mobius,inf,0.00736690761,23,0.0386897849136808,NaN
matlab,absolute periodic,0,1,2,6,bulger,inf,0.000383488398,668,0.518081943484703,NaN
matlab,absolute periodic,0,1,2,6,mobius,inf,0.000628904566,396,0.518081943484703,2.220e-16
matlab,absolute periodic,0,1,2,12,bulger,inf,0.00132581958,200,0.11787303217724,NaN
matlab,absolute periodic,0,1,2,12,mobius,inf,0.000622966528,422,0.11787303217724,1.388e-17
matlab,absolute periodic,0,1,2,20,bulger,inf,0.00285412387,74,0.594227049500202,NaN
matlab,absolute periodic,0,1,2,20,mobius,inf,0.000634376337,374,0.594227049500202,1.110e-16
matlab,absolute periodic,0,1,2,34,bulger,inf,0.0132958368,12,0.635028326669427,NaN
matlab,absolute periodic,0,1,2,34,mobius,inf,0.000688789572,358,0.635028326669427,2.220e-16
matlab,absolute periodic,0,1,3,6,bulger,inf,0.000786308601,187,0.0134739819249658,NaN
matlab,absolute periodic,0,1,3,6,mobius,inf,0.00151228886,178,0.013473981924966,2.758e-16
matlab,absolute periodic,0,1,3,12,bulger,inf,0.00736118333,20,0.22754172559466,NaN
