language,mode,is_rel,is_per,r,K,method,rel_route,truncation,seconds,reps,value,rel_dev
matlab,absolute non-periodic,0,0,2,6,bulger,auto,inf,0.000261591479,844,0.0220974056945736,NaN
matlab,absolute non-periodic,0,0,2,6,mobius,auto,inf,0.000612646984,326,0.0220974056945712,2.342e-15
matlab,absolute non-periodic,0,0,2,12,bulger,auto,inf,0.000720615812,390,0.0136432273445955,NaN
matlab,absolute non-periodic,0,0,2,12,mobius,auto,inf,0.000651079109,434,0.0136432273445954,5.551e-17
matlab,absolute non-periodic,0,0,2,20,bulger,auto,inf,0.00208540417,70,0.168080293106141,NaN
matlab,absolute non-periodic,0,0,2,20,mobius,auto,inf,0.000677664748,304,0.168080293106143,2.193e-15
matlab,absolute non-periodic,0,0,2,34,bulger,auto,inf,0.00805331875,20,0.276329228486047,NaN
matlab,absolute non-periodic,0,0,2,34,mobius,auto,inf,0.000683074405,350,0.276329228486015,3.214e-14
matlab,absolute non-periodic,0,0,3,6,bulger,auto,inf,0.000445610451,610,0.000521028669186421,NaN
matlab,absolute non-periodic,0,0,3,6,mobius,auto,inf,0.00149288745,164,0.000521028669186428,7.156e-18
matlab,absolute non-periodic,0,0,3,12,bulger,auto,inf,0.00395575403,62,0.0151341494961349,NaN
matlab,absolute non-periodic,0,0,3,12,mobius,auto,inf,0.00152489535,172,0.0151341494961347,1.926e-16
matlab,absolute non-periodic,0,0,3,20,bulger,auto,inf,0.0776991458,2,0.0431423448126019,NaN
matlab,absolute non-periodic,0,0,3,20,mobius,auto,inf,0.00156355148,174,0.0431423448125966,5.239e-15
matlab,absolute non-periodic,0,0,3,34,mobius,auto,inf,0.00194848457,81,0.0775002273411831,NaN
matlab,absolute non-periodic,0,0,4,6,bulger,auto,inf,0.000648638158,418,0,NaN
matlab,absolute non-periodic,0,0,4,6,mobius,auto,inf,0.00537395988,54,-2.28243362025078e-17,2.282e-17
matlab,absolute non-periodic,0,0,4,12,bulger,auto,inf,0.0582475694,3,0.000982244456808395,NaN
matlab,absolute non-periodic,0,0,4,12,mobius,auto,inf,0.00548000801,52,0.000982244456806938,1.457e-15
matlab,absolute non-periodic,0,0,4,20,mobius,auto,inf,0.00561098765,27,0.0270328121731932,NaN
matlab,absolute non-periodic,0,0,4,34,mobius,auto,inf,0.0075702875,20,0.0386897849136808,NaN
matlab,absolute periodic,0,1,2,6,bulger,auto,inf,0.000383683266,738,0.518081943484703,NaN
matlab,absolute periodic,0,1,2,6,mobius,auto,inf,0.000634527945,416,0.518081943484703,2.220e-16
matlab,absolute periodic,0,1,2,12,bulger,auto,inf,0.00132965117,121,0.11787303217724,NaN
matlab,absolute periodic,0,1,2,12,mobius,auto,inf,0.000635282951,392,0.11787303217724,1.388e-17
matlab,absolute periodic,0,1,2,20,bulger,auto,inf,0.00290301415,53,0.594227049500202,NaN
matlab,absolute periodic,0,1,2,20,mobius,auto,inf,0.000641276282,390,0.594227049500202,1.110e-16
matlab,absolute periodic,0,1,2,34,bulger,auto,inf,0.0135577951,12,0.635028326669427,NaN
matlab,absolute periodic,0,1,2,34,mobius,auto,inf,0.000700112197,358,0.635028326669427,2.220e-16
matlab,absolute periodic,0,1,3,6,bulger,auto,inf,0.000796717708,280,0.0134739819249658,NaN
matlab,absolute periodic,0,1,3,6,mobius,auto,inf,0.00154919878,96,0.013473981924966,2.758e-16
