language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,value,rel_dev,guarded
matlab,ip,10,1200,absolute non-periodic,0,0,2,6,0,bulger,auto,inf,0.000237299494,708,1.41245021744955e-09,4.136e-25,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,6,0,centres,auto,inf,0.000245084635,1152,1.41245021744956e-09,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,6,0,mobius,auto,inf,0.000556601476,480,1.4124452187494e-09,4.999e-15,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,9,0,bulger,auto,inf,0.000343371169,696,0.00265003941664522,4.337e-19,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,9,0,centres,auto,inf,0.000429324914,678,0.00265003941664522,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,9,0,mobius,auto,inf,0.000560628024,496,0.00265003941664522,4.770e-18,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,14,0,bulger,auto,inf,0.00107241197,142,0.0246055933534732,0.000e+00,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,14,0,centres,auto,inf,0.00151129366,188,0.0246055933534732,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,14,0,mobius,auto,inf,0.000576948705,502,0.0246055933534733,2.429e-17,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,21,0,bulger,auto,inf,0.00166524569,174,0.0170619305964074,3.469e-18,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,21,0,centres,auto,inf,0.00224741054,68,0.0170619305964074,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,21,0,mobius,auto,inf,0.000575968535,388,0.017061930596399,8.354e-15,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,32,0,bulger,auto,inf,0.0045293799,34,0.0477967617552416,0.000e+00,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,32,0,centres,auto,inf,0.00803980482,19,0.0477967617552416,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,32,0,mobius,auto,inf,0.000615330678,408,0.0477967617552415,1.318e-16,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,48,0,bulger,auto,inf,0.0190264427,16,0.104677627610534,0.000e+00,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,48,0,centres,auto,inf,0.0370776167,5,0.104677627610534,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,2,48,0,mobius,auto,inf,0.000640102129,368,0.104677627610518,1.517e-14,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,6,0,bulger,auto,inf,0.000366324989,734,3.41072585443286e-16,4.930e-32,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,6,0,centres,auto,inf,0.00100210909,288,3.41072585443286e-16,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,6,0,mobius,auto,inf,0.0014532277,142,3.41348371068153e-16,2.758e-19,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,9,0,bulger,auto,inf,0.00116955789,208,6.03451637399744e-10,1.034e-25,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,9,0,centres,auto,inf,0.00295383886,98,6.03451637399744e-10,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,9,0,mobius,auto,inf,0.00143724382,182,6.03451637438788e-10,3.904e-20,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,14,0,bulger,auto,inf,0.00686688447,22,1.44568187494362e-10,4.437e-21,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,14,0,centres,auto,inf,0.0366219833,5,1.44568187498799e-10,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,14,0,mobius,auto,inf,0.00144506771,192,1.44568187616005e-10,1.172e-19,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,21,0,bulger,auto,inf,0.0772518125,2,0.00146332132333145,4.337e-19,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,21,0,centres,auto,inf,0.467707396,1,0.00146332132333145,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,21,0,mobius,auto,inf,0.00147578963,184,0.00146332132332803,3.423e-15,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,32,0,bulger,auto,inf,1.04669571,1,0.0212124402711652,3.469e-18,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,32,0,centres,auto,inf,28.1656825,1,0.0212124402711652,NaN,1
matlab,ip,10,1200,absolute non-periodic,0,0,3,32,0,mobius,auto,inf,0.00174747466,148,0.0212124402711581,7.057e-15,0
matlab,ip,10,1200,absolute non-periodic,0,0,3,48,0,mobius,auto,inf,0.00228066486,69,0.0237446005397673,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,4,6,0,bulger,auto,inf,0.000575316563,400,0,0.000e+00,0
matlab,ip,10,1200,absolute non-periodic,0,0,4,6,0,centres,auto,inf,0.00253639038,65,0,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,4,6,0,mobius,auto,inf,0.005589825,40,-1.53575229714285e-19,1.536e-19,0
matlab,ip,10,1200,absolute non-periodic,0,0,4,9,0,bulger,auto,inf,0.00566517608,31,0,0.000e+00,0
matlab,ip,10,1200,absolute non-periodic,0,0,4,9,0,centres,auto,inf,0.0770303472,3,0,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,4,9,0,mobius,auto,inf,0.00542523083,50,-5.14002289690079e-20,5.140e-20,0
matlab,ip,10,1200,absolute non-periodic,0,0,4,14,0,bulger,auto,inf,0.202769729,1,0.000271103889834395,0.000e+00,0
matlab,ip,10,1200,absolute non-periodic,0,0,4,14,0,centres,auto,inf,22.53993,1,0.000271103889834395,NaN,1
matlab,ip,10,1200,absolute non-periodic,0,0,4,14,0,mobius,auto,inf,0.00535422743,48,0.000271103889834131,2.645e-16,0
matlab,ip,10,1200,absolute non-periodic,0,0,4,21,0,bulger,auto,inf,21.6103232,1,2.49987484842152e-07,NaN,1
matlab,ip,10,1200,absolute non-periodic,0,0,4,21,0,mobius,auto,inf,0.00540480833,50,2.49987484841195e-07,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,4,32,0,mobius,auto,inf,0.00698593056,21,0.00333697372281843,NaN,0
matlab,ip,10,1200,absolute non-periodic,0,0,4,48,0,mobius,auto,inf,0.00811053472,36,0.00611622882446696,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,2,6,0,bulger,auto,inf,0.000375824289,668,1.07429165390572e-07,0.000e+00,0
matlab,ip,10,1200,absolute periodic,0,1,2,6,0,centres,auto,inf,0.000415371698,694,1.07429165390572e-07,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,2,6,0,mobius,auto,inf,0.00057493294,466,1.07429165401904e-07,1.133e-17,0
matlab,ip,10,1200,absolute periodic,0,1,2,9,0,bulger,auto,inf,0.000682651877,262,0.00446908161399114,2.342e-17,0
matlab,ip,10,1200,absolute periodic,0,1,2,9,0,centres,auto,inf,0.000839957571,328,0.00446908161399117,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,2,9,0,mobius,auto,inf,0.000582273229,400,0.00446908161399118,1.041e-17,0
matlab,ip,10,1200,absolute periodic,0,1,2,14,0,bulger,auto,inf,0.00136274228,162,0.145094368796868,2.776e-17,0
matlab,ip,10,1200,absolute periodic,0,1,2,14,0,centres,auto,inf,0.00205422448,80,0.145094368796868,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,2,14,0,mobius,auto,inf,0.000582128676,442,0.145094368796868,2.776e-17,0
matlab,ip,10,1200,absolute periodic,0,1,2,21,0,bulger,auto,inf,0.002713325,60,0.0927711267557421,1.388e-17,0
matlab,ip,10,1200,absolute periodic,0,1,2,21,0,centres,auto,inf,0.00378825984,72,0.0927711267557421,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,2,21,0,mobius,auto,inf,0.000592060341,386,0.0927711267557422,4.163e-17,0
matlab,ip,10,1200,absolute periodic,0,1,2,32,0,bulger,auto,inf,0.00766665,20,0.229601545261108,0.000e+00,0
