language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,guarded,value,rel_dev
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,6,,centres,forced-by-method,inf,0.0002091002640721034,1420,False,1.4124502174495598e-09,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,6,,bulger,forced-by-method,inf,0.00020464888141511685,1408,False,1.4124502174495596e-09,2.0679515313825692e-25
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,6,,mobius,forced-by-method,inf,0.0004498031715786001,670,False,1.4124452073377097e-09,5.0101118501057004e-15
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,9,,centres,forced-by-method,inf,0.00025823063118859333,583,False,0.002650039416645219,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,9,,bulger,forced-by-method,inf,0.0002463194447057868,1194,False,0.0026500394166452186,4.336808689942018e-19
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,9,,mobius,forced-by-method,inf,0.0004501380058304229,346,False,0.0026500394166452204,1.3010426069826053e-18
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,14,,centres,forced-by-method,inf,0.00039701928193259866,376,False,0.024605593353473242,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,14,,bulger,forced-by-method,inf,0.00036172205924334545,422,False,0.024605593353473235,6.938893903907228e-18
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,14,,mobius,forced-by-method,inf,0.0004517653339140418,644,False,0.02460559335347326,1.734723475976807e-17
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,21,,centres,forced-by-method,inf,0.0008129874997798147,180,False,0.017061930596407395,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,21,,bulger,forced-by-method,inf,0.0006709992183271813,426,False,0.01706193059640739,3.469446951953614e-18
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,21,,mobius,forced-by-method,inf,0.0004585731326764488,339,False,0.017061930596399037,8.357897707256257e-15
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,32,,centres,forced-by-method,inf,0.002433721781320249,96,False,0.047796761755241654,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,32,,bulger,forced-by-method,inf,0.001934177963854184,166,False,0.04779676175524166,6.938893903907228e-18
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,32,,mobius,forced-by-method,inf,0.0005550699518957677,520,False,0.04779676175524153,1.249000902703301e-16
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,48,,centres,forced-by-method,inf,0.008726161764249863,17,False,0.10467762761053356,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,48,,bulger,forced-by-method,inf,0.0057217556157131465,52,False,0.10467762761053359,2.7755575615628914e-17
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,48,,mobius,forced-by-method,inf,0.000576594899574434,508,False,0.10467762761051834,1.522393322517246e-14
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,6,,centres,forced-by-method,inf,0.000504444539229109,293,False,3.4107258544328793e-16,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,6,,bulger,forced-by-method,inf,0.00045080952424878727,658,False,3.4107258544328793e-16,0.0
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,6,,mobius,forced-by-method,inf,0.0011233357174538843,262,False,3.4146566283726865e-16,3.930773939807236e-19
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,9,,centres,forced-by-method,inf,0.0020904982393659967,71,False,6.034516373997465e-10,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,9,,bulger,forced-by-method,inf,0.0015860006577751943,190,False,6.034516373997467e-10,2.0679515313825692e-25
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,9,,mobius,forced-by-method,inf,0.001142519826610242,248,False,6.034516374366153e-10,3.686888746756041e-20
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,14,,centres,forced-by-method,inf,0.010296543544179505,22,False,1.44568187498799e-10,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,14,,bulger,forced-by-method,inf,0.007541037499322556,40,False,1.4456818749436187e-10,4.437126052705152e-21
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,14,,mobius,forced-by-method,inf,0.001149723425234382,254,False,1.4456818756397633e-10,6.517733447459782e-20
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,21,,centres,forced-by-method,inf,0.05218891651020385,4,False,0.0014633213233314556,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,21,,bulger,forced-by-method,inf,0.031113416749576572,8,False,0.0014633213233314556,0.0
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,21,,mobius,forced-by-method,inf,0.0011634046679828316,250,False,0.0014633213233280324,3.4232599394057317e-15
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,32,,centres,forced-by-method,inf,0.3357988750212826,1,False,0.021212440271165197,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,32,,bulger,forced-by-method,inf,0.15632416697917506,1,False,0.0212124402711652,3.469446951953614e-18
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,32,,mobius,forced-by-method,inf,0.0014015714285917403,210,False,0.021212440271158144,7.053385653321698e-15
