language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,guarded,value,rel_dev
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,72,,centres,forced-by-method,inf,0.04500032633465404,6,False,0.15663827200454147,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,72,,bulger,forced-by-method,inf,0.026211958330047008,6,False,0.15663827200454147,0.0
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,72,,mobius,forced-by-method,inf,0.0009322376744739006,169,False,0.15663827200450556,3.5915714846623814e-14
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,110,,centres,forced-by-method,inf,0.19198183302069083,1,False,0.24506994042724323,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,110,,bulger,forced-by-method,inf,0.11069916651467793,2,False,0.2450699404272432,2.7755575615628914e-17
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,110,,mobius,forced-by-method,inf,0.0008759870182510223,276,False,0.24506994042723088,1.2351231148954867e-14
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,160,,centres,forced-by-method,inf,0.9089752919971943,1,False,0.36704918641727574,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,160,,bulger,forced-by-method,inf,0.49590224999701604,1,False,0.3670491864172759,1.6653345369377348e-16
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,160,,mobius,forced-by-method,inf,0.0012071417904523916,129,False,0.36704918641725715,1.8596235662471372e-14
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,240,,bulger,forced-by-method,inf,2.43437074997928,1,False,0.5087360384457565,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,240,,mobius,forced-by-method,inf,0.0016752036133160194,150,False,0.5087360384457202,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,360,,mobius,forced-by-method,inf,0.0031608927005436272,80,False,0.6151981457734772,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,540,,mobius,forced-by-method,inf,0.029070070799207315,10,False,0.7048524800359978,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,820,,mobius,forced-by-method,inf,0.061895395745523274,4,False,0.8124143712838898,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,2,1200,,mobius,forced-by-method,inf,0.12080199999036267,2,False,0.860929757761997,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,72,,mobius,forced-by-method,inf,0.0018995331439796384,132,False,0.07111047144905364,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,110,,mobius,forced-by-method,inf,0.0024072859078072585,65,False,0.11680093612551669,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,160,,mobius,forced-by-method,inf,0.003038816666877311,90,False,0.15273174476224835,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,240,,mobius,forced-by-method,inf,0.004833044740802574,54,False,0.3658393104863275,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,360,,mobius,forced-by-method,inf,0.008404882354250945,17,False,0.4706214687033565,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,540,,mobius,forced-by-method,inf,0.047048937500221655,6,False,0.6371611803911836,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,820,,mobius,forced-by-method,inf,0.10304377050488256,2,False,0.7278777822478162,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,3,1200,,mobius,forced-by-method,inf,0.19631679204758257,1,False,0.8115496682960097,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,72,,mobius,forced-by-method,inf,0.007351345588069628,34,False,0.018172167936556037,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,110,,mobius,forced-by-method,inf,0.009032928939525257,17,False,0.0576215652628839,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,160,,mobius,forced-by-method,inf,0.01189398481933908,22,False,0.09793848121173102,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,240,,mobius,forced-by-method,inf,0.01905428271441321,14,False,0.24339535790171707,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,360,,mobius,forced-by-method,inf,0.0352733281251858,8,False,0.40022412843372546,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,540,,mobius,forced-by-method,inf,0.13442064600531012,2,False,0.5102025860915598,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,820,,mobius,forced-by-method,inf,0.301601541985292,1,False,0.6441411131978635,nan
