CSV_BEGIN
r,K,N,sigmaOverP,isPer,gridSize,msSpectral,msGrid,ratio
2,4,1,0.0020,1,973,0.1807,0.9943,5.5022
2,4,1,0.0050,1,393,0.1100,0.4951,4.5008
2,4,1,0.0125,1,161,0.0663,0.2674,4.0308
2,4,1,0.0500,1,45,0.0516,0.1865,3.6126
2,4,1,0.2000,1,15,0.0421,0.1764,4.1911
2,4,2,0.0020,1,973,0.3371,4.6732,13.8621
2,4,2,0.0050,1,393,0.1760,1.6056,9.1250
2,4,2,0.0125,1,161,0.1200,0.7354,6.1285
2,4,2,0.0500,1,45,0.0745,0.3440,4.6175
2,4,2,0.2000,1,15,0.0676,0.2837,4.1973
2,4,4,0.0020,1,973,0.6760,17.5099,25.9022
2,4,4,0.0050,1,393,0.3161,7.5405,23.8530
2,4,4,0.0125,1,161,0.1827,3.1790,17.3951
2,4,4,0.0500,1,45,0.1167,1.1509,9.8650
2,4,4,0.2000,1,15,0.0988,0.8939,9.0485
2,4,8,0.0020,1,973,1.4523,72.9375,50.2223
2,4,8,0.0050,1,393,0.6353,29.9401,47.1282
2,4,8,0.0125,1,161,0.3554,15.2738,42.9742
2,4,8,0.0500,1,45,0.2048,4.0190,19.6250
2,4,8,0.2000,1,15,0.2038,2.8475,13.9699
2,4,16,0.0020,1,973,3.1201,301.3500,96.5827
2,4,16,0.0050,1,393,1.3220,119.6013,90.4700
2,4,16,0.0125,1,161,0.7008,55.6569,79.4200
2,4,16,0.0500,1,45,0.4620,18.6617,40.3969
2,4,16,0.2000,1,15,0.3244,12.8585,39.6407
2,8,1,0.0020,1,973,0.5285,4.9383,9.3446
2,8,1,0.0050,1,393,0.1920,1.6716,8.7062
2,8,1,0.0125,1,161,0.1108,0.7505,6.7718
2,8,1,0.0500,1,45,0.0689,0.4521,6.5604
2,8,1,0.2000,1,15,0.0486,0.2981,6.1303
2,8,2,0.0020,1,973,0.8873,19.4451,21.9161
2,8,2,0.0050,1,393,0.3569,7.5465,21.1436
2,8,2,0.0125,1,161,0.1837,2.7774,15.1186
2,8,2,0.0500,1,45,0.1038,0.9500,9.1493
2,8,2,0.2000,1,15,0.0677,0.8812,13.0221
2,8,4,0.0020,1,973,1.7512,72.7570,41.5477
2,8,4,0.0050,1,393,0.7360,29.3081,39.8208
2,8,4,0.0125,1,161,0.3558,12.5848,35.3755
2,8,4,0.0500,1,45,0.1921,3.6755,19.1306
2,8,4,0.2000,1,15,0.1308,2.9928,22.8752
