CSV_BEGIN
r,K,N,sigmaOverP,isPer,gridSize,msSpectral,msGrid,ratio
2,4,1,0.0020,1,973,0.1867,1.1061,5.9230
2,4,1,0.0050,1,393,0.1091,0.4546,4.1657
2,4,1,0.0125,1,161,0.0647,0.2461,3.8036
2,4,1,0.0500,1,45,0.0452,0.1679,3.7134
2,4,1,0.2000,1,15,0.0414,0.1665,4.0242
2,4,2,0.0020,1,973,0.3274,4.6555,14.2190
2,4,2,0.0050,1,393,0.1706,1.5064,8.8286
2,4,2,0.0125,1,161,0.1034,0.7146,6.9098
2,4,2,0.0500,1,45,0.0690,0.3223,4.6743
2,4,2,0.2000,1,15,0.0781,0.2991,3.8288
2,4,4,0.0020,1,973,0.6958,18.1373,26.0655
2,4,4,0.0050,1,393,0.3223,8.0025,24.8301
2,4,4,0.0125,1,161,0.1864,3.6337,19.4965
2,4,4,0.0500,1,45,0.1148,1.0626,9.2570
2,4,4,0.2000,1,15,0.0991,0.7591,7.6615
2,4,8,0.0020,1,973,1.2170,85.4986,70.2536
2,4,8,0.0050,1,393,0.6125,29.8502,48.7383
2,4,8,0.0125,1,161,0.3588,13.4744,37.5507
2,4,8,0.0500,1,45,0.2059,3.8437,18.6665
2,4,8,0.2000,1,15,0.1720,3.0303,17.6182
2,4,16,0.0020,1,973,2.5383,279.2210,110.0017
2,4,16,0.0050,1,393,1.2686,118.5096,93.4188
2,4,16,0.0125,1,161,0.6838,52.8258,77.2495
2,4,16,0.0500,1,45,0.3995,16.8725,42.2297
2,4,16,0.2000,1,15,0.3195,12.0682,37.7673
2,8,1,0.0020,1,973,0.4113,4.1984,10.2067
2,8,1,0.0050,1,393,0.1880,1.5350,8.1649
2,8,1,0.0125,1,161,0.1027,0.7375,7.1810
2,8,1,0.0500,1,45,0.0694,0.3089,4.4502
2,8,1,0.2000,1,15,0.0454,0.2650,5.8348
2,8,2,0.0020,1,973,0.8613,18.5191,21.5016
2,8,2,0.0050,1,393,0.3414,7.6306,22.3499
2,8,2,0.0125,1,161,0.1854,2.8516,15.3828
2,8,2,0.0500,1,45,0.1156,0.8890,7.6911
2,8,2,0.2000,1,15,0.0698,0.8857,12.6826
2,8,4,0.0020,1,973,1.7300,74.2016,42.8921
2,8,4,0.0050,1,393,0.7132,31.1573,43.6886
2,8,4,0.0125,1,161,0.3419,13.6903,40.0399
2,8,4,0.0500,1,45,0.1812,3.6307,20.0315
2,8,4,0.2000,1,15,0.1044,2.7004,25.8618
2,8,8,0.0020,1,973,3.5223,285.5039,81.0573
2,8,8,0.0050,1,393,1.5924,118.3237,74.3064
2,8,8,0.0125,1,161,0.6659,49.0914,73.7246
2,8,8,0.0500,1,45,0.3599,15.4052,42.8020
2,8,8,0.2000,1,15,0.1907,10.9259,57.3034
2,8,16,0.0020,1,973,6.4930,1162.0195,178.9638
2,8,16,0.0050,1,393,2.9730,462.9082,155.7041
2,8,16,0.0125,1,161,1.3016,206.6574,158.7739
2,8,16,0.0500,1,45,0.6492,64.6572,99.5875
2,8,16,0.2000,1,15,0.3435,44.9469,130.8337
2,16,1,0.0020,1,973,0.7313,12.8689,17.5975
2,16,1,0.0050,1,393,0.4308,5.5738,12.9371
2,16,1,0.0125,1,161,0.2485,2.1093,8.4881
2,16,1,0.0500,1,45,0.0792,0.8433,10.6414
2,16,1,0.2000,1,15,0.0473,0.8761,18.5254
2,16,2,0.0020,1,973,1.3765,53.1894,38.6422
2,16,2,0.0050,1,393,0.7565,21.5699,28.5112
2,16,2,0.0125,1,161,0.3615,9.1093,25.1958
2,16,2,0.0500,1,45,0.1362,3.0654,22.5119
2,16,2,0.2000,1,15,0.0694,2.6192,37.7538
2,16,4,0.0020,1,973,2.6615,203.8672,76.5974
2,16,4,0.0050,1,393,1.5740,86.0416,54.6628
2,16,4,0.0125,1,161,0.6155,36.1922,58.7972
2,16,4,0.0500,1,45,0.2370,13.2356,55.8562
2,16,4,0.2000,1,15,0.1171,9.5662,81.6752
2,16,8,0.0020,1,973,4.3335,807.1442,186.2551
2,16,8,0.0050,1,393,3.0177,341.5958,113.1986
2,16,8,0.0125,1,161,1.2665,143.8258,113.5654
2,16,8,0.0500,1,45,0.4427,53.1048,119.9544
2,16,8,0.2000,1,15,0.2111,40.0497,189.6967
2,16,16,0.0020,1,973,10.3030,3228.8555,313.3911
2,16,16,0.0050,1,393,5.5859,1352.2731,242.0862
2,16,16,0.0125,1,161,1.9974,582.7717,291.7688
2,16,16,0.0500,1,45,0.8587,218.8405,254.8362
2,16,16,0.2000,1,15,0.4193,153.6060,366.3093
2,30,1,0.0020,1,973,1.1736,35.9109,30.5993
2,30,1,0.0050,1,393,0.6317,15.5240,24.5762
2,30,1,0.0125,1,161,0.3715,6.5300,17.5794
2,30,1,0.0500,1,45,0.0973,2.4226,24.8896
2,30,1,0.2000,1,15,0.0533,2.2530,42.2757
2,30,2,0.0020,1,973,2.2005,138.1667,62.7888
2,30,2,0.0050,1,393,1.1096,58.7650,52.9613
2,30,2,0.0125,1,161,0.7342,25.6429,34.9259
2,30,2,0.0500,1,45,0.1739,10.3365,59.4481
2,30,2,0.2000,1,15,0.0858,7.7640,90.5418
2,30,4,0.0020,1,973,4.2052,555.4159,132.0794
2,30,4,0.0050,1,393,1.9673,243.7728,123.9103
