# calibrate_rel_ip_cost
# python 3.12.2, numpy 2.4.4
# truncation_sigmas 6.0, period 1200.0
# budget 5.0, repeat_below 0.25, seeds [1]
# times in milliseconds. inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. nan
# means the arm is inadmissible in that mode, or raised.
# declined_* says why an arm was not measured: memory (working set does not
# fit, by exact arithmetic), rate (over budget, predicted from cells already
# timed), prior (over budget, from the built-in rate before any measurement
# existed), budget (it ran, and exceeded).
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,6,6,1,equal,flat,0,3,1,1370,30,30,0.3431,0.1965,0.5830,0.0450,5.1080,9.887e-14,centres,mobius,,,
2,6,6,1,equal,flat,1,3,1,3332,30,30,0.0897,0.1745,0.4965,0.0495,5.1080,6.140e-13,centres,bulger,,,
2,6,6,1,equal,flat,0,25,1,167,30,30,0.3074,0.1800,0.3277,0.0450,5.1080,1.256e-12,centres,mobius,,,
2,6,6,1,equal,flat,1,25,1,400,30,30,0.1023,0.1902,0.2359,0.0495,5.1080,1.559e-12,centres,bulger,,,
2,6,6,4,equal,flat,0,3,1,2259,30,30,0.4963,0.5109,2.8868,0.7200,6.7280,5.573e-14,centres,bulger,,,
2,6,6,4,equal,flat,1,3,1,3332,30,30,0.1933,0.5099,1.6853,0.7920,6.7280,9.004e-14,centres,bulger,,,
2,6,6,4,equal,flat,0,25,1,312,30,30,0.8883,0.4970,0.7255,0.7200,6.7280,9.248e-14,centres,mobius,,,
2,6,6,4,equal,flat,1,25,1,400,30,30,0.2786,0.5001,0.4865,0.7920,6.7280,6.961e-14,centres,bulger,,,
2,6,6,16,equal,flat,0,3,1,2409,30,30,2.0840,5.6477,12.5457,11.5200,32.6480,3.719e-14,centres,bulger,,,
2,6,6,16,equal,flat,1,3,1,3332,30,30,2.8196,8.4717,7.5699,12.6720,32.6480,8.882e-16,centres,bulger,,,
2,6,6,16,equal,flat,0,25,1,330,30,30,11.6025,5.5779,2.3797,11.5200,32.6480,4.441e-16,centres,mobius,,,
2,6,6,16,equal,flat,1,25,1,400,30,30,3.9095,6.5734,1.5018,12.6720,32.6480,0.000e+00,centres,mobius,,,
2,6,6,64,equal,flat,0,3,1,2440,30,30,31.8954,91.8754,47.9840,184.3200,447.3680,2.109e-15,centres,bulger,,,
2,6,6,64,equal,flat,1,3,1,3332,30,30,40.1328,132.0720,29.7580,202.7520,447.3680,2.220e-16,centres,mobius,,,
2,6,6,64,equal,flat,0,25,1,335,30,30,182.8697,87.2463,9.3967,184.3200,447.3680,0.000e+00,centres,mobius,,,
2,6,6,64,equal,flat,1,25,1,400,30,30,70.3319,98.5835,5.3353,202.7520,447.3680,3.331e-16,centres,mobius,,,
2,6,6,1,equal,decay,0,3,1,2285,30,30,0.2700,0.2458,1.4255,0.0450,5.1080,1.996e-14,centres,mobius,,,
2,6,6,1,equal,decay,1,3,1,3332,30,30,0.0972,0.1985,1.0998,0.0495,5.1080,2.576e-14,centres,bulger,,,
2,6,6,1,equal,decay,0,25,1,243,30,30,0.3933,0.2085,0.3029,0.0450,5.1080,2.058e-12,centres,mobius,,,
2,6,6,1,equal,decay,1,25,1,400,30,30,0.0996,0.1981,0.2450,0.0495,5.1080,2.114e-12,centres,bulger,,,
