# calibrateRelIpCost
# generated 2026-08-01 15:51:46
# matlab 26.1.0.3251617 (R2026a) Update 2 on MACA64
# truncationSigmas 6, period 1200
# budgetSec 5, seeds 1
# times in milliseconds. Inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. NaN
# means the arm is inadmissible in that mode, or errored. A declined_ column
# reads - when the arm was measured normally.
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,6,6,1,equal,flat,0,3,1,1714,30,30,5.5846,4.9809,5.7640,0.0450,5.1080,8.966e-13,centres,mobius,-,-,-
2,6,6,1,equal,flat,1,3,1,3332,30,30,2.5529,2.2551,3.4087,0.0495,5.1080,8.544e-13,centres,mobius,-,-,-
2,6,6,1,equal,flat,0,25,1,214,30,30,0.7498,0.9683,1.2392,0.0450,5.1080,8.549e-14,centres,bulger,-,-,-
2,6,6,1,equal,flat,1,25,1,400,30,30,0.6821,0.5483,0.5397,0.0495,5.1080,8.065e-13,centres,mobius,-,-,-
2,6,6,4,equal,flat,0,3,1,2195,30,30,1.3594,1.3850,3.1854,0.7200,6.7280,1.127e-14,grid,bulger,-,-,-
2,6,6,4,equal,flat,1,3,1,3332,30,30,1.0705,0.9405,2.2930,0.7920,6.7280,1.342e-13,grid,mobius,-,-,-
2,6,6,4,equal,flat,0,25,1,304,30,30,0.8747,0.8035,1.0145,0.7200,6.7280,2.220e-16,grid,mobius,-,-,-
2,6,6,4,equal,flat,1,25,1,400,30,30,1.1235,0.9970,0.8602,0.7920,6.7280,9.992e-15,grid,mobius,-,-,-
2,6,6,16,equal,flat,0,3,1,2395,30,30,3.0641,2.1306,9.0025,11.5200,32.6480,9.259e-14,grid,mobius,-,-,-
2,6,6,16,equal,flat,1,3,1,3332,30,30,3.5540,2.3158,6.3715,12.6720,32.6480,1.998e-15,grid,mobius,-,-,-
2,6,6,16,equal,flat,0,25,1,333,30,30,3.3666,2.0780,3.4311,11.5200,32.6480,1.332e-15,grid,mobius,-,-,-
2,6,6,16,equal,flat,1,25,1,400,30,30,3.9249,2.3806,2.1831,12.6720,32.6480,1.110e-16,grid,mobius,-,-,-
2,6,6,64,equal,flat,0,3,1,2440,30,30,24.4082,15.8347,33.0479,184.3200,447.3680,2.187e-14,grid,mobius,-,-,-
2,6,6,64,equal,flat,1,3,1,3332,30,30,29.5935,19.9888,23.7439,202.7520,447.3680,4.441e-16,grid,mobius,-,-,-
2,6,6,64,equal,flat,0,25,1,335,30,30,30.0314,18.1229,12.6125,184.3200,447.3680,6.661e-16,grid,mobius,-,-,-
2,6,6,64,equal,flat,1,25,1,400,30,30,38.5668,20.3219,8.0423,202.7520,447.3680,5.551e-16,grid,mobius,-,-,-
2,6,6,1,equal,decay,0,3,1,1714,30,30,0.2709,0.3145,0.8934,0.0450,5.1080,2.507e-14,centres,bulger,-,-,-
2,6,6,1,equal,decay,1,3,1,3332,30,30,0.3399,0.3639,0.6477,0.0495,5.1080,2.143e-14,centres,bulger,-,-,-
2,6,6,1,equal,decay,0,25,1,214,30,30,0.2968,0.3431,0.4286,0.0450,5.1080,3.512e-13,centres,bulger,-,-,-
2,6,6,1,equal,decay,1,25,1,400,30,30,0.2786,0.3188,0.3638,0.0495,5.1080,1.965e-13,centres,bulger,-,-,-
